date,crise financeira,crise econômica,pânico financeiro,colapso econômico,crash bolsa,queda ibovespa,volatilidade bolsa,bear market brasil,fuga capitais,bolsa despenca,risco default brasil,rebaixamento rating brasil,dívida pública brasil,recessão brasil,desemprego brasil,desvalorização real,dólar dispara,crise bancária,corrida bancária,alta juros brasil,investir agora,vender ações,mercado vai cair,proteção carteira,como proteger investimentos
2018-06-01,4,5,0,0,0,9,0,0,0,0,0,0,0,1,20,14,0,0,0,0,8,21,0,0,0
2018-07-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,5,18,0,0,0
2018-08-01,3,4,0,0,0,0,0,0,0,0,0,0,1,1,29,11,7,0,0,0,6,20,0,0,0
2018-09-01,3,5,0,0,0,0,0,0,6,0,0,0,1,1,33,23,0,0,0,0,6,19,0,0,0
2018-10-01,3,5,0,0,0,13,0,0,0,8,0,0,1,1,42,14,0,0,0,0,7,32,0,4,0
2018-11-01,3,7,0,0,0,13,0,0,10,0,0,0,1,1,25,14,0,0,0,7,9,30,0,4,0
2018-12-01,2,3,0,0,0,7,0,0,0,0,0,0,0,1,12,8,0,0,0,0,5,22,0,0,0
2019-01-01,2,1,0,0,0,14,0,0,0,8,0,0,0,0,13,0,0,0,0,0,6,37,5,4,0
2019-02-01,3,2,0,0,0,14,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,32,0,0,0
2019-03-01,3,4,0,0,0,11,0,0,0,0,0,0,0,0,28,18,0,0,0,9,7,37,0,5,0
2019-04-01,4,5,0,0,0,12,0,0,0,0,0,0,1,1,32,14,0,0,0,0,6,34,0,4,0
2019-05-01,4,6,0,0,1,6,0,0,0,0,0,0,1,1,39,13,0,0,0,0,8,35,0,5,0
2019-06-01,4,5,0,0,0,0,0,0,0,0,0,0,1,1,30,14,0,0,0,0,4,37,0,3,0
2019-07-01,2,2,0,0,0,9,0,0,0,0,0,0,0,1,26,0,0,0,0,0,8,41,0,5,0
2019-08-01,3,5,0,0,0,20,0,0,7,7,0,0,0,3,44,23,0,0,0,0,10,52,0,3,0
2019-09-01,3,5,0,0,0,7,0,0,0,0,0,0,0,1,35,10,0,0,0,0,6,43,0,4,0
2019-10-01,3,4,0,0,0,12,0,0,0,8,0,0,0,1,31,11,0,0,0,0,7,34,4,3,0
2019-11-01,3,4,0,0,0,9,0,0,0,6,0,0,0,1,35,13,0,0,0,0,8,35,3,5,0
2019-12-01,2,2,0,0,0,0,0,0,0,0,0,0,1,0,21,25,0,0,0,0,9,41,0,4,0
2020-01-01,1,1,0,0,0,20,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,54,0,4,0
2020-02-01,2,2,0,0,0,30,0,0,13,16,0,0,0,1,26,17,0,0,0,6,11,44,4,4,0
2020-03-01,8,6,0,0,1,100,7,0,12,30,0,0,1,4,43,51,0,0,0,0,31,77,0,7,0
2020-04-01,6,8,0,0,1,27,5,0,5,0,0,0,1,2,72,23,0,6,0,0,25,61,3,6,0
2020-05-01,5,11,0,0,1,16,0,0,9,0,0,0,1,2,59,51,0,0,0,0,28,66,6,7,0
2020-06-01,4,12,0,0,1,25,5,0,7,0,0,0,1,1,37,19,0,0,0,7,24,88,3,7,0
2020-07-01,6,13,0,0,1,15,5,0,7,0,0,0,0,1,35,38,0,0,0,0,22,78,7,10,0
2020-08-01,3,9,0,0,1,16,0,0,5,6,0,0,0,1,25,26,0,0,0,0,14,62,6,8,0
2020-09-01,4,11,0,0,1,22,0,0,10,0,0,0,0,3,29,40,0,0,0,0,13,50,8,7,0
2020-10-01,3,10,0,0,0,18,0,0,9,5,0,0,0,1,25,54,0,0,0,10,13,55,3,7,0
2020-11-01,3,11,0,0,0,9,0,0,5,0,0,0,1,1,25,29,0,0,0,0,16,55,6,5,5
2020-12-01,3,8,0,0,0,14,0,0,5,0,0,0,0,1,20,23,0,0,0,0,14,50,0,6,0
2021-01-01,2,3,0,0,0,19,0,0,5,0,0,0,1,1,20,16,0,0,0,0,15,57,0,6,0
2021-02-01,2,3,0,0,0,13,0,0,0,0,0,0,1,0,18,22,0,0,0,0,13,53,0,4,0
2021-03-01,4,9,0,0,0,15,0,0,0,13,0,0,1,1,28,53,7,6,0,5,22,61,5,5,0
2021-04-01,4,12,0,0,0,5,0,0,0,0,0,0,0,1,29,29,0,0,0,5,17,63,6,7,0
