title,url,date,source,keyword
Ronaldinho Gaúcho toca sino de encerramento da Bolsa de Valores de Nova York; VÍDEO,https://g1.globo.com/economia/noticia/2024/10/10/ronaldinho-gaucho-bolsa-de-valores-de-nova-york.ghtml,2024-10-10,g1,bolsa valores
Dia dos Professores: crise financeira desperta sonho e sala de aula vira caminho do recomeço,https://g1.globo.com/sp/campinas-regiao/noticia/2024/10/15/dia-dos-professores-crise-financeira-desperta-sonho-e-sala-de-aula-vira-caminho-do-recomeco.ghtml,2024-10-15,g1,crise financeira
"Em crise, Argentina sofre com pirâmides financeiras e tem denúncias em massa",https://g1.globo.com/economia/noticia/2024/10/26/em-crise-argentina-sofre-com-piramides-financeiras-e-tem-denuncias-em-massa.ghtml,2024-10-26,g1,crise financeira
"Kamala ou Trump: como afetam a economia brasileira e quais os impactos no dólar, na bolsa de valores e nos juros",https://g1.globo.com/economia/noticia/2024/11/04/kamala-ou-trump-como-afetam-a-economia-brasileira-e-quais-os-impactos-no-dolar-bolsa-e-juros.ghtml,2024-11-04,g1,bolsa valores
"Em 12 anos, Paraisópolis sobe cinco posições e se torna 3ª maior favela do Brasil, segundo IBGE",https://g1.globo.com/sp/sao-paulo/noticia/2024/11/08/em-12-anos-paraisopolis-sobe-cinco-posicoes-e-se-torna-3a-maior-favela-do-brasil-segundo-ibge.ghtml,2024-11-08,g1,recessão brasil
Venda da Avibras: sindicato se reúne com possível comprador da indústria bélica,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2024/11/08/venda-da-avibras-sindicato-se-reune-com-possivel-comprador-da-industria-belica.ghtml,2024-11-08,g1,crise financeira
'Trump não é liberal': as polêmicas propostas do novo presidente dos EUA para a economia,https://g1.globo.com/economia/noticia/2024/11/11/trump-nao-e-liberal-as-polemicas-propostas-do-novo-presidente-dos-eua-para-a-economia.ghtml,2024-11-11,g1,crise econômica
"Dólar sobe e fecha a R$ 5,79, com preocupação sobre corte fiscal; Ibovespa avança",https://g1.globo.com/economia/noticia/2024/11/13/dolar-ibovespa.ghtml,2024-11-13,g1,ibovespa
"Prefeitura de Teresina enfrenta crise financeira e está inadimplente no Cadin, diz futuro secretário",https://g1.globo.com/pi/piaui/noticia/2024/11/14/prefeitura-de-teresina-enfrenta-crise-financeira-e-esta-inadimplente-no-cadin-diz-prefeito-eleito-expectativa-e-de-um-ano-para-regularizacao.ghtml,2024-11-14,g1,crise financeira
"Dólar cai e fecha a R$ 5,80, à espera de cortes de gastos; Ibovespa recua",https://g1.globo.com/economia/noticia/2024/11/25/dolar-ibovespa.ghtml,2024-11-25,g1,ibovespa
