date,crisis_probability,regime
222,3.124145353736323e-05,0
223,3.281841489129586e-05,0
224,2.982343215236331e-05,0
225,3.3563690544716505e-05,0
226,9.547177124020025e-05,0
227,3.6428284336933885e-05,0
228,3.192027356451457e-05,0
229,3.047926375087861e-05,0
230,3.5270488817739784e-05,0
231,3.882539586346058e-05,0
232,0.00017536998904147286,0
233,0.00010985999176429774,0
234,3.426370090940251e-05,0
235,3.206691955228357e-05,0
236,3.7020020566615144e-05,0
237,5.00848712843883e-05,0
238,0.00020184113263363828,0
239,0.00026543264708686,0
240,6.3302092966108e-05,0
241,5.3473827317355154e-05,0
242,6.51315732412961e-05,0
243,7.945270335074769e-05,0
244,0.0004158804140578334,0
245,0.000448795659824188,0
246,8.194661823956877e-05,0
247,5.916208600648453e-05,0
248,5.153987730476382e-05,0
249,6.458014769470931e-05,0
250,0.0004850048514593257,0
251,0.00040080998456728785,0
252,6.308061142468235e-05,0
253,4.27503674151921e-05,0
254,3.705800096454814e-05,0
255,3.729614176503377e-05,0
256,7.764039560584261e-05,0
257,6.949638166730792e-05,0
258,3.1227674303946445e-05,0
259,3.0576581083931115e-05,0
260,3.117125602715458e-05,0
261,6.344906666907638e-05,0
262,6.588270119315527e-05,0
263,5.2970861616635e-05,0
264,3.1235027063253895e-05,0
265,3.316537041325977e-05,0
266,5.223791403672889e-05,0
267,0.0004031479408728483,0
268,0.00043039102033905273,0
269,4.90449683625721e-05,0
270,4.4910873194550366e-05,0
271,4.4712322267804634e-05,0
272,4.4180935246066105e-05,0
273,0.00020172508634402631,0
274,0.0001541609220260656,0
275,3.43282629454363e-05,0
276,2.961440115488422e-05,0
277,2.9549188358262023e-05,0
278,3.200504010741845e-05,0
279,9.751201005572707e-05,0
280,0.00014148563073111654,0
281,3.6614667855103596e-05,0
282,3.5143436828861026e-05,0
283,3.549698385819929e-05,0
284,4.73668147620539e-05,0
285,0.00019302698295516733,0
286,0.00015747000941062774,0
287,3.7755244382167735e-05,0
288,3.964982915055067e-05,0
289,4.450901693642921e-05,0
290,4.471571355433594e-05,0
291,0.00023444415623641933,0
292,0.00023106522348123997,0
293,5.1504633257070046e-05,0
294,3.3872163426531494e-05,0
295,3.324290155336465e-05,0
296,3.143807331050435e-05,0
297,6.451009778079845e-05,0
298,9.829339492323312e-05,0
299,3.2166778323899665e-05,0
300,2.9633996509568702e-05,0
301,2.960620468860877e-05,0
302,3.117929756204105e-05,0
303,8.552810115895423e-05,0
304,8.086331535966311e-05,0
305,3.12310170186611e-05,0
306,2.9439841023134406e-05,0
307,3.3398240869139814e-05,0
308,4.0372903758760434e-05,0
309,0.00013638287441539875,0
310,0.00022028482360892,0
311,4.90056517902669e-05,0
312,4.163472231120842e-05,0
313,4.165134724163564e-05,0
314,4.22576180692003e-05,0
315,0.0001477659194583782,0
316,0.00013055290601955566,0
317,4.286835091385424e-05,0
318,3.5073442664250315e-05,0
319,3.7420426829769314e-05,0
320,4.6323920758223616e-05,0
321,0.00026937657016554823,0
322,0.00026838205040183473,0
323,4.739747594812236e-05,0
324,3.756599834853882e-05,0
325,4.112710951899443e-05,0
326,4.73355763923737e-05,0
327,7.503164605160331e-05,0
328,0.0008029374784921441,0
329,0.0034365423451214873,0
330,0.07956411102469262,0
331,0.32040394424462376,0
332,0.9865549282670026,1
333,0.9997461542421365,1
334,0.9999999560455344,1
335,0.9999999799513832,1
336,0.9999999897697593,1
337,0.9999999956667299,1
338,0.9999999966310662,1
339,0.9999999960253784,1
340,0.9999998736034792,1
341,0.9999999999747661,1
342,0.9999999177639071,1
343,0.9999999999802653,1
344,0.999999972880072,1
345,0.9999999694878392,1
346,0.9999844819785131,1
347,0.9999999810573788,1
348,0.9998463828359507,1
349,0.8593236146136056,1
350,0.5270560093343962,1
351,0.09217704124683808,0
352,0.05433931173102201,0
353,0.06575457116198223,0
354,0.06695936557862445,0
355,0.008634493714532156,0
356,0.0009815028994793868,0
357,0.00021532575329686964,0
358,0.0004776608369641427,0
359,0.003313737611199351,0
360,0.0040739590676587695,0
361,0.0003010943908585244,0
362,4.396875780467354e-05,0
363,3.877147105067358e-05,0
364,8.036025574867359e-05,0
