date,stress_sum,stress_mean,article_count,stress_articles,financial_terms,stress_terms,negative_terms,sources,fsi_raw,fsi_proportion,news_fsi
2019-08-19,13.388905057061258,0.2677781011412252,50,9,32,13,8,folha,0.2677781011412252,0.18,0.1093199520145646
2019-08-26,16.87367098025452,0.2678360473056273,63,10,51,14,13,"folha, g1",0.2678360473056273,0.15873015873015872,0.10934360843712071
2019-09-02,5.0,0.1724137931034483,29,3,19,7,6,folha,0.1724137931034483,0.10344827586206896,0.07038763628687295
2019-09-09,9.242640687119286,0.22006287350284012,42,5,29,7,8,"folha, g1",0.22006287350284012,0.11904761904761904,0.08984029190209983
2019-09-16,10.210759472187952,0.28363220756077645,36,7,22,8,11,"folha, g1",0.28363220756077645,0.19444444444444445,0.11579236385717856
2019-09-23,14.838394799844435,0.37095986999611086,40,7,29,9,18,"folha, g1",0.37095986999611086,0.175,0.15144373275660913
2019-09-30,11.06449510224598,0.32542632653664644,34,7,28,4,9,folha,0.32542632653664644,0.20588235294117646,0.1328547414805208
2019-10-07,3.863703305156273,0.18398587167410824,21,2,13,6,2,folha,0.18398587167410824,0.09523809523809523,0.07511191758045838
2019-10-14,7.16227766016838,0.2170387169747994,33,3,25,10,5,folha,0.2170387169747994,0.09090909090909091,0.08860568516943207
2019-10-21,10.881710142989599,0.21336686554881568,51,6,23,15,12,folha,0.21336686554881568,0.11764705882352941,0.08710665810193692
2019-10-28,9.974691494688162,0.19182099028246466,52,7,21,10,11,"folha, g1",0.19182099028246466,0.1346153846153846,0.07831059135790149
2019-11-04,7.146264369941973,0.11910440616569955,60,5,19,13,10,folha,0.11910440616569955,0.08333333333333333,0.04862417020386043
2019-11-11,7.974691494688162,0.14499439081251203,55,6,25,11,11,folha,0.14499439081251203,0.10909090909090909,0.05919371217605729
2019-11-18,10.59575411272515,0.22074487734844062,48,6,27,9,9,folha,0.22074487734844062,0.125,0.090118718806156
2019-11-25,8.560477932315067,0.1646245756214436,52,6,25,9,6,"folha, g1",0.1646245756214436,0.11538461538461539,0.0672077015657933
2019-12-02,12.65685424949238,0.23438618980541445,54,10,30,7,20,folha,0.23438618980541445,0.18518518518518517,0.09568776129639897
2019-12-09,19.36359655174942,0.31231607341531326,62,11,43,16,17,folha,0.31231607341531326,0.1774193548387097,0.127502503056188
2019-12-16,15.65685424949238,0.2846700772634978,55,11,32,12,14,"folha, valor",0.2846700772634978,0.2,0.11621607238903879
2019-12-23,18.888282852609095,0.20309981561945262,93,11,63,14,19,"valor, folha, g1",0.20309981561945262,0.11827956989247312,0.08291515252016732
2019-12-30,5.277916867529369,0.18849703098319173,28,3,12,3,5,"folha, valor, g1",0.18849703098319173,0.10714285714285714,0.07695359065640185
2020-01-20,0.0,0.0,1,0,0,0,1,folha,0.0,0.0,0.0
2020-03-16,1.4142135623730951,1.4142135623730951,1,1,1,1,0,g1,1.4142135623730951,1.0,0.5773502691896258
2020-03-23,0.0,0.0,1,0,0,1,0,g1,0.0,0.0,0.0
2020-04-13,2.0,2.0,1,1,1,2,0,g1,2.0,1.0,0.8164965809277261
2020-04-20,0.0,0.0,1,0,0,2,0,g1,0.0,0.0,0.0
2020-05-18,5.23606797749979,0.290892665416655,18,3,9,11,5,"folha, g1",0.290892665416655,0.16666666666666666,0.1187564333648259
2020-05-25,4.414213562373095,0.23232702959858395,19,3,9,7,4,"folha, g1",0.23232702959858395,0.15789473684210525,0.0948471126621692
2020-06-01,3.414213562373095,0.2008360919042997,17,2,10,5,4,folha,0.2008360919042997,0.11764705882352941,0.08199099118337365
2020-06-08,5.146264369941973,0.5146264369941973,10,3,12,3,2,"folha, g1",0.5146264369941973,0.3,0.21009536313038998
2020-06-15,2.0,0.2,10,1,3,3,5,folha,0.2,0.1,0.08164965809277261
2020-06-22,0.0,0.0,9,0,1,3,4,"folha, g1",0.0,0.0,0.0
2020-06-29,2.414213562373095,0.142012562492535,17,2,8,6,4,"g1, folha",0.142012562492535,0.11764705882352941,0.05797638586196993
